基金碼	簡稱	年月日	幣別	淨值(元)
T0903Y 	統一黑馬     	0211	NTD 	     55.330000
T0903Y 	統一黑馬     	0212	NTD 	     55.700000
T0903Y 	統一黑馬     	0213	NTD 	     55.620000
T0903Y 	統一黑馬     	0214	NTD 	     55.710000
T0903Y 	統一黑馬     	0215	NTD 	     55.110000
T0903Y 	統一黑馬     	0218	NTD 	     55.480000
T0903Y 	統一黑馬     	0219	NTD 	     55.940000
T0903Y 	統一黑馬     	0220	NTD 	     56.220000
T0903Y 	統一黑馬     	0221	NTD 	     56.270000
T0903Y 	統一黑馬     	0222	NTD 	     55.920000
T0903Y 	統一黑馬     	0225	NTD 	     56.400000
T0903Y 	統一黑馬     	0226	NTD 	     56.120000
T0903Y 	統一黑馬     	0227	NTD 	     55.990000
T0903Y 	統一黑馬     	0304	NTD 	     56.490000
T0903Y 	統一黑馬     	0305	NTD 	     56.220000
T0903Y 	統一黑馬     	0306	NTD 	     56.380000
