基金碼,簡稱,年月日,近一年變動率%
T3601Y ,安聯台灣大壩 ,20190307,14.838719
T3619Y ,安聯台灣智慧 ,20190307,11.225218
T2209Y ,復華傳家二號 ,20190307,10.687966
T0406Y ,匯豐成功     ,20190307,10.434327
T2212Y ,復華人生目標 ,20190307,9.938114
00718B ,富邦中國政策債,20190307,8.461683
T05A1A ,元大美元貨市 ,20190307,7.663007
TF002  ,高股(TR)     ,20190307,7.4187
T0922Y ,統一台灣動力 ,20190307,7.024267
0056   ,元大高股息   ,20190307,6.847909
T3604Y ,安聯台灣科技 ,20190307,6.823964
T0123A ,兆豐美元貨市 ,20190307,6.822476
0059   ,富邦金融     ,20190307,6.758077
0055   ,元大MSCI金融 ,20190307,6.666735
M28TR  ,金融報酬     ,20190307,6.6482
T0320Y ,第一金中概平衡,20190307,6.086583
T0802Y ,保德信高成長Aa,20190307,5.706905
T0717Y ,瀚亞理財通   ,20190307,5.478898
Y8887  ,TR未金電     ,20190307,5.4265
T0508Y ,元高科       ,20190307,5.400703
00701  ,國泰臺灣低波動30,20190307,5.354811
T0902Y ,統一全天候A  ,20190307,5.237158
ZA4200B,海外貨幣市場_B,20190307,5.183245
T3236Y ,野村台灣高股 ,20190307,5.139573
T2205Y ,FH高成       ,20190307,5.009825
ZA2200B,平衡一般型_B ,20190307,4.989953
T2006Y ,日盛高科技   ,20190307,4.966686
T0909Y ,統一經建     ,20190307,4.91228
01002T ,土銀國泰R1   ,20190307,4.620611
T0808Y ,保德信科技島 ,20190307,4.56226
01004T ,土銀富邦R2   ,20190307,4.494815
T2214Y ,復華神盾     ,20190307,4.353793
T2216Y ,復華全方位   ,20190307,4.272223
01007T ,兆豐國泰R2   ,20190307,4.11465
T2506Y ,永豐中小Aa   ,20190307,4.09006
T0110Y ,兆豐豐台灣   ,20190307,3.973509
T0810Y ,保德信中小型 ,20190307,3.955585
T3101Y ,貝萊德寶利基金,20190307,3.839863
01001T ,土銀富邦R1   ,20190307,3.755987
T4511Y ,富蘭克林華美傳產,20190307,3.606384
T2203Y ,復華基金     ,20190307,3.466112
T0118Y ,兆豐人民幣貨幣市,20190307,3.449154
T0803Y ,保德信金滿意 ,20190307,3.442218
00713  ,元大台高息低波,20190307,3.116894
ZA4200A,海外貨幣市場_A,20190307,2.825853
T2284Y ,復華人民幣貨幣,20190307,2.798343
ZA1151B,指數-一般ETF_B,20190307,2.538991
T2011Y ,日盛新台商   ,20190307,2.453142
T0910Y ,統一奔騰     ,20190307,2.327298
01003T ,兆豐新光R1   ,20190307,2.307889
T1614Y ,群益創新科技 ,20190307,2.28369
M2800  ,金融保險類指數,20190307,2.2224
T0123B ,兆豐美元貨市 $,20190307,2.172997
T1618Y ,群益安家     ,20190307,2.168337
T05A1B ,元大美元貨市 USD,20190307,2.085933
00649  ,FH香港       ,20190307,2.026384
ZA123KB,其他市場ETF_B,20190307,2.026384
00657  ,國泰日經225  ,20190307,2.007723
T1706Y ,德信數位時代 ,20190307,1.837456
ZA1120B,科技類_B     ,20190307,1.722722
ZA1110B,一般型_B     ,20190307,1.573483
T4101Y ,凱基開創     ,20190307,1.560717
TR100  ,中型TR       ,20190307,1.4572
ZA123FB,日本ETF_B    ,20190307,1.414925
ZA123KA,其他市場ETF_A,20190307,1.410761
T05A5B ,元大澳幣貨市場 A,20190307,1.300872
T4510Y ,富蘭克林高科技,20190307,1.290964
T2003Y ,日盛上選     ,20190307,1.248811
T3221Y ,野村鴻利     ,20190307,1.205933
TF001  ,台灣高股息指數,20190307,1.1718
T2030Y ,日盛首選     ,20190307,1.161373
Y5555  ,不含電子     ,20190307,1.1108
00666R ,富邦恒生國企反1,20190307,1.008535
ZA123MB,其他市場反ETF_B,20190307,1.008535
T2503Y ,永豐高科技   ,20190307,0.987422
0051   ,元大中型100  ,20190307,0.937833
00661  ,元大日經225  ,20190307,0.822126
00700  ,富邦恒生國企 ,20190307,0.795138
ZA123KC,其他市場ETF_C,20190307,0.795138
ZA11A0B,中概股_B     ,20190307,0.74109
ZA2200A,平衡一般型_A ,20190307,0.740483
Y8886  ,未含金電     ,20190307,0.6867
T1603Y ,群益葛萊美   ,20190307,0.655013
T1713Y ,德信台灣主流中小,20190307,0.508463
T1601Y ,群益奧斯卡   ,20190307,0.482732
T4513Y ,富蘭貨幣市場基金,20190307,0.482397
T0310Y ,第一金台灣貨幣,20190307,0.480304
T4719Y ,台新1699貨幣市場,20190307,0.477802
T0569Y ,元大得利貨幣市場,20190307,0.474084
T0805Y ,保德信貨幣市場,20190307,0.472817
T3602Y ,安聯台灣貨幣 ,20190307,0.469273
T2008Y ,日盛貨幣市場 ,20190307,0.468811
ZA4200C,海外貨幣市場_C,20190307,0.468461
T4002Y ,德銀DWS 台灣貨幣,20190307,0.465732
T1615Y ,群益安穩貨幣市場,20190307,0.463481
T2612Y ,中信華盈貨幣市場,20190307,0.463334
ZA4100B,國內貨幣市場_B,20190307,0.462041
T1204Y ,華南永昌鳳翔貨幣,20190307,0.461846
T4713Y ,台新大眾貨幣市場,20190307,0.461314
T0101Y ,兆豐國際寶鑽貨幣,20190307,0.460873
T0712Y ,瀚亞威寶貨幣基金,20190307,0.457319
T3225Y ,野村貨幣市場 ,20190307,0.455811
T4807Y ,合庫貨幣市場基金,20190307,0.453041
T0306Y ,第一金全家福貨幣,20190307,0.452934
T0571Y ,元大得寶貨幣市場,20190307,0.449875
T0507Y ,元大萬泰貨幣市場,20190307,0.445163
T0905Y ,統一強棒貨幣市場,20190307,0.444437
T3302Y ,聯邦貨幣市場 ,20190307,0.442222
T4302Y ,華頓平安貨幣市場,20190307,0.440089
T1008Y ,富邦吉祥貨幣市場,20190307,0.440078
T1208Y ,華南永昌麒麟貨幣,20190307,0.439771
T2502Y ,永豐貨幣市場 ,20190307,0.438804
