基金碼,簡稱,年月日,近一年變動率%
0050   ,元大台灣50   ,20190307,   -2.172769
0051   ,元大中型100  ,20190307,    0.937833
0052   ,富邦科技     ,20190307,   -4.898589
0053   ,元大電子     ,20190307,   -5.326307
0054   ,元大台商50   ,20190307,   -8.930489
0055   ,元大MSCI金融 ,20190307,    6.666735
0056   ,元大高股息   ,20190307,    6.847909
0057   ,富邦摩台     ,20190307,   -3.050119
0058   ,富邦發達     ,20190307,   -1.562162
0059   ,富邦金融     ,20190307,    6.758077
0061   ,元大寶滬深   ,20190307,   -6.214397
006201 ,元大富櫃50   ,20190307,  -14.352474
006203 ,元大MSCI台灣 ,20190307,   -2.449732
006204 ,永豐臺灣加權 ,20190307,   -0.766294
006205 ,富邦上証     ,20190307,   -2.436054
006206 ,元大上證50   ,20190307,   -2.886347
006207 ,FH滬深       ,20190307,   -4.801920
006208 ,富邦台50     ,20190307,   -2.134763
00625K ,富邦上証+R   ,20190307,   -1.692525
00631L ,元大台灣50正2,20190307,   -1.952031
00632R ,元大台灣50反1,20190307,   -3.855046
00633L ,富邦上証正2  ,20190307,  -15.623725
00634R ,富邦上証反1  ,20190307,   -1.627218
00636  ,國泰中國A50  ,20190307,   -3.972289
00636K ,國泰中國 A50+U,20190307,   -8.918922
00637L ,元大滬深300 正2,20190307,  -15.458933
00638R ,元大滬深300 反1,20190307,   -0.947522
00639  ,富邦深100    ,20190307,  -11.129995
00640L ,富邦日本正2  ,20190307,  -13.147227
00641R ,富邦日本反1  ,20190307,    0.000000
00643  ,群益深証中小 ,20190307,  -17.339219
00643K ,群益深証中小+R,20190307,  -16.715553
00645  ,富邦日本     ,20190307,   -5.370364
00649  ,FH香港       ,20190307,    2.026384
00650L ,FH香港正2    ,20190307,   -9.266523
00651R ,FH香港反1    ,20190307,   -1.792118
00655L ,國泰中國A50正2,20190307,  -18.294018
00656R ,國泰中國A50反1,20190307,   -2.658331
00657  ,國泰日經225  ,20190307,    2.007723
00657K ,國泰日經225+U,20190307,   -3.386007
