COID,MDATE,MKT
Y9999  ,20180305,-0.5166
Y9999  ,20180306,1.329
Y9999  ,20180307,-0.3618
Y9999  ,20180308,0.7252
Y9999  ,20180309,0.3842
Y9999  ,20180312,1.2635
Y9999  ,20180313,0.8501
Y9999  ,20180314,-0.5122
Y9999  ,20180315,-0.1843
Y9999  ,20180316,0.084
Y9999  ,20180319,0.1741
Y9999  ,20180320,-0.3264
Y9999  ,20180321,0.0021
Y9999  ,20180322,-0.0475
Y9999  ,20180323,-1.6583
Y9999  ,20180326,0.1545
Y9999  ,20180327,1.3537
Y9999  ,20180328,-1.1025
Y9999  ,20180329,-0.1817
Y9999  ,20180330,0.556
Y9999  ,20180331,0.1217
Y9999  ,20180402,-0.2859
Y9999  ,20180403,-0.613
Y9999  ,20180409,0.6653
Y9999  ,20180410,0.3089
Y9999  ,20180411,0.4287
Y9999  ,20180412,-0.1707
Y9999  ,20180413,0.0922
Y9999  ,20180416,-0.0989
Y9999  ,20180417,-1.3154
Y9999  ,20180418,0.3463
Y9999  ,20180419,1.1369
Y9999  ,20180420,-1.7486
Y9999  ,20180423,-0.763
Y9999  ,20180424,-1.0996
Y9999  ,20180425,-0.1846
Y9999  ,20180426,-0.676
Y9999  ,20180427,0.6183
Y9999  ,20180430,0.9897
Y9999  ,20180502,-0.3666
Y9999  ,20180503,-0.9853
Y9999  ,20180504,0.1445
Y9999  ,20180507,0.7174
Y9999  ,20180508,0.8154
Y9999  ,20180509,0.112
Y9999  ,20180510,0.5312
Y9999  ,20180511,0.9179
Y9999  ,20180514,0.8602
Y9999  ,20180515,-0.7091
Y9999  ,20180516,0.21
Y9999  ,20180517,-0.5851
Y9999  ,20180518,-0.0274
Y9999  ,20180521,1.2498
Y9999  ,20180522,-0.2505
Y9999  ,20180523,-0.4804
Y9999  ,20180524,0.4662
Y9999  ,20180525,0.0491
Y9999  ,20180528,0.4155
Y9999  ,20180529,-0.2152
Y9999  ,20180530,-1.3038
Y9999  ,20180531,0.4971
Y9999  ,20180601,0.6816
Y9999  ,20180604,1.4651
Y9999  ,20180605,-0.0845
Y9999  ,20180606,0.9164
Y9999  ,20180607,0.4456
Y9999  ,20180608,-0.8472
Y9999  ,20180611,-0.0644
Y9999  ,20180612,-0.0398
Y9999  ,20180613,0.255
Y9999  ,20180614,-1.4251
Y9999  ,20180615,0.6672
Y9999  ,20180619,-1.653
Y9999  ,20180620,0.2132
Y9999  ,20180621,0.1247
Y9999  ,20180622,-0.382
Y9999  ,20180625,-1.0351
Y9999  ,20180626,-0.4106
Y9999  ,20180627,-0.383
Y9999  ,20180628,-0.4369
Y9999  ,20180629,1.7141
Y9999  ,20180702,-0.5442
Y9999  ,20180703,-0.5773
Y9999  ,20180704,0.0574
Y9999  ,20180705,-1.0265
Y9999  ,20180706,-0.0305
Y9999  ,20180709,1.053
Y9999  ,20180710,0.3415
Y9999  ,20180711,-0.7442
Y9999  ,20180712,0.5764
Y9999  ,20180713,1.1749
Y9999  ,20180716,-0.4334
Y9999  ,20180717,-0.3555
Y9999  ,20180718,0.5888
Y9999  ,20180719,-0.0653
Y9999  ,20180720,0.8927
Y9999  ,20180723,0.1352
Y9999  ,20180724,0.443
Y9999  ,20180725,-0.2692
Y9999  ,20180726,0.4087
Y9999  ,20180727,0.5919
Y9999  ,20180730,-0.3814
Y9999  ,20180731,0.2172
Y9999  ,20180801,0.3674
Y9999  ,20180802,-1.517
Y9999  ,20180803,0.7563
Y9999  ,20180806,0.106
Y9999  ,20180807,-0.3688
Y9999  ,20180808,0.8359
Y9999  ,20180809,-0.426
Y9999  ,20180810,-0.4025
Y9999  ,20180813,-2.1374
Y9999  ,20180814,0.7006
Y9999  ,20180815,-0.993
Y9999  ,20180816,-0.3065
Y9999  ,20180817,0.0661
Y9999  ,20180820,0.0757
Y9999  ,20180821,0.8706
Y9999  ,20180822,0.1112
Y9999  ,20180823,0.5454
Y9999  ,20180824,-0.4951
Y9999  ,20180827,0.8591
Y9999  ,20180828,0.8011
Y9999  ,20180829,1.0011
Y9999  ,20180830,-0.0524
Y9999  ,20180831,-0.2687
Y9999  ,20180903,-0.9013
Y9999  ,20180904,0.5213
Y9999  ,20180905,-0.2382
Y9999  ,20180906,-0.6442
Y9999  ,20180907,-0.7077
Y9999  ,20180910,-1.1173
Y9999  ,20180911,0.2471
Y9999  ,20180912,-0.2765
Y9999  ,20180913,0.0435
Y9999  ,20180914,1.3136
Y9999  ,20180917,-0.3637
Y9999  ,20180918,-0.6317
Y9999  ,20180919,0.902
Y9999  ,20180920,-0.2382
Y9999  ,20180921,1.3018
Y9999  ,20180925,0.0587
Y9999  ,20180926,-0.0424
Y9999  ,20180927,0.5467
Y9999  ,20180928,-0.2524
Y9999  ,20181001,0.413
Y9999  ,20181002,-1.1959
Y9999  ,20181003,-0.51
Y9999  ,20181004,-1.335
Y9999  ,20181005,-1.8826
Y9999  ,20181008,-0.5818
Y9999  ,20181009,0.1042
Y9999  ,20181011,-6.3125
Y9999  ,20181012,2.4444
Y9999  ,20181015,-1.4403
Y9999  ,20181016,0.8078
Y9999  ,20181017,-0.0196
Y9999  ,20181018,-0.2546
Y9999  ,20181019,-0.3463
Y9999  ,20181022,0.5547
Y9999  ,20181023,-1.9959
Y9999  ,20181024,-0.1616
Y9999  ,20181025,-2.4449
Y9999  ,20181026,-0.332
Y9999  ,20181029,0.286
Y9999  ,20181030,0.1029
Y9999  ,20181031,2.8975
Y9999  ,20181101,0.4347
Y9999  ,20181102,0.6283
Y9999  ,20181105,-0.1694
Y9999  ,20181106,-0.6558
Y9999  ,20181107,0.8489
Y9999  ,20181108,0.373
Y9999  ,20181109,-1.1593
Y9999  ,20181112,0.0122
Y9999  ,20181113,-0.5632
Y9999  ,20181114,0.1641
Y9999  ,20181115,0.3531
Y9999  ,20181116,-0.2989
Y9999  ,20181119,0.3225
Y9999  ,20181120,-0.8618
Y9999  ,20181121,-0.0253
Y9999  ,20181122,-0.2752
Y9999  ,20181123,-0.488
Y9999  ,20181126,1.0143
Y9999  ,20181127,0.1358
Y9999  ,20181128,1.0808
Y9999  ,20181129,0.0106
Y9999  ,20181130,0.027
Y9999  ,20181203,2.5267
Y9999  ,20181204,-0.5359
Y9999  ,20181205,-1.6542
Y9999  ,20181206,-2.3397
Y9999  ,20181207,0.7864
Y9999  ,20181210,-1.1612
Y9999  ,20181211,0.6167
Y9999  ,20181212,1.1271
Y9999  ,20181213,0.431
Y9999  ,20181214,-0.8581
Y9999  ,20181217,0.1368
Y9999  ,20181218,-0.702
Y9999  ,20181219,0.6625
Y9999  ,20181220,-1.111
Y9999  ,20181221,0.0222
Y9999  ,20181222,-0.3153
Y9999  ,20181224,-0.067
Y9999  ,20181225,-1.1682
Y9999  ,20181226,-0.5049
Y9999  ,20181227,1.7151
Y9999  ,20181228,0.8904
Y9999  ,20190102,-1.7813
Y9999  ,20190103,-0.646
Y9999  ,20190104,-1.1579
Y9999  ,20190107,2.2147
Y9999  ,20190108,-0.2784
Y9999  ,20190109,1.8268
Y9999  ,20190110,-0.1809
Y9999  ,20190111,0.3982
